pH,TDS,Turbidity,Temperature,pH_score,TDS_score,Turbidity_score,Temp_score,WQI,Category,Recommended_Use,Safety_Advice,Risk_Level
7.42,302.1,2.40,22.8,100.0,99.8,93.0,100.0,97.1,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.50,325.0,2.60,23.5,100.0,97.5,92.0,100.0,96.1,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.58,347.9,2.80,24.2,97.0,95.2,91.0,100.0,94.4,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.65,370.8,3.00,24.9,94.0,92.9,90.0,100.0,92.7,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.72,393.8,3.20,25.6,91.0,90.6,89.0,100.0,91.0,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.80,416.7,3.40,26.3,88.0,88.3,88.0,100.0,89.3,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.88,439.6,3.60,27.0,85.0,86.0,87.0,100.0,87.6,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
7.95,462.5,3.80,27.8,82.0,83.8,86.0,100.0,85.9,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
8.03,485.4,4.00,28.5,79.0,81.5,85.0,96.6,83.9,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
8.10,508.3,4.20,29.2,76.0,79.7,84.0,91.2,81.8,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
8.18,531.2,4.40,29.9,73.0,78.8,83.0,85.9,80.0,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
8.25,554.2,4.60,30.6,70.0,77.8,82.0,80.6,78.2,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
8.33,577.1,4.80,31.3,67.0,76.9,81.0,75.3,76.4,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
8.40,600.0,5.00,32.0,64.0,76.0,80.0,70.0,74.6,1,Drink after treatment + washing,Good physical parameters. Filter + disinfect (boil/UV/chlorine) before drinking. Lab-test recommended.,Low
6.00,100.0,1.00,10.0,40.0,100.0,100.0,60.0,84.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.02,115.3,1.23,10.2,41.0,100.0,98.8,61.9,83.9,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.05,130.6,1.47,10.5,41.9,100.0,97.7,63.9,83.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.07,146.0,1.70,10.7,42.9,100.0,96.5,65.8,83.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.10,161.3,1.94,11.0,43.9,100.0,95.3,67.7,83.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.12,176.6,2.17,11.2,44.8,100.0,94.2,69.7,83.6,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.15,191.9,2.40,11.5,45.8,100.0,93.0,71.6,83.5,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.17,207.3,2.64,11.7,46.8,100.0,91.8,73.5,83.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.19,222.6,2.87,11.9,47.7,100.0,90.6,75.5,83.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.22,237.9,3.10,12.2,48.7,100.0,89.5,77.4,83.3,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.24,253.2,3.34,12.4,49.7,100.0,88.3,79.4,83.2,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.27,268.5,3.57,12.7,50.6,100.0,87.1,81.3,83.1,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.29,283.9,3.81,12.9,51.6,100.0,86.0,83.2,83.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.31,299.2,4.04,13.1,52.6,100.0,84.8,85.2,83.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.34,314.5,4.27,13.4,53.5,98.5,83.6,87.1,82.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.36,329.8,4.51,13.6,54.5,97.0,82.5,89.0,81.9,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.39,345.2,4.74,13.9,55.5,95.5,81.3,91.0,81.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.41,360.5,4.98,14.1,56.5,94.0,80.1,92.9,80.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.44,375.8,5.21,14.4,57.4,92.4,78.7,94.8,80.2,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.46,391.1,5.44,14.6,58.4,90.9,77.3,96.8,79.6,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.48,406.5,5.68,14.8,59.4,89.4,75.9,98.7,78.9,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.51,421.8,5.91,15.1,60.6,87.8,74.5,100.0,78.3,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.53,437.1,6.15,15.3,62.6,86.3,73.1,100.0,77.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.56,452.4,6.38,15.6,64.5,84.8,71.7,100.0,77.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.58,467.7,6.61,15.8,66.5,83.2,70.3,100.0,76.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.60,483.1,6.85,16.0,68.4,81.7,68.9,100.0,75.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.63,498.4,7.08,16.3,70.3,80.2,67.5,100.0,75.1,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.65,513.7,7.31,16.5,72.3,79.5,66.1,100.0,74.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.68,529.0,7.55,16.8,74.2,78.8,64.7,100.0,74.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.70,544.4,7.78,17.0,76.1,78.2,63.3,100.0,74.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.73,559.7,8.02,17.3,78.1,77.6,61.9,100.0,73.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.75,575.0,8.25,17.5,80.0,77.0,60.5,100.0,73.3,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.77,590.3,8.48,17.7,81.9,76.4,59.1,100.0,72.9,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.80,605.6,8.72,18.0,83.9,75.8,57.7,100.0,72.6,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.82,621.0,8.95,18.2,85.8,75.2,56.3,100.0,72.2,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.85,636.3,9.19,18.5,87.7,74.5,54.9,100.0,71.9,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.87,651.6,9.42,18.7,89.7,73.9,53.5,100.0,71.5,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.90,666.9,9.65,19.0,91.6,73.3,52.1,100.0,71.2,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.92,682.3,9.89,19.2,93.5,72.7,50.7,100.0,70.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.94,697.6,10.12,19.4,95.5,72.1,49.8,100.0,70.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.97,712.9,10.35,19.7,97.4,71.5,49.5,100.0,70.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
6.99,728.2,10.59,19.9,99.4,70.9,49.1,100.0,70.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.02,743.5,10.82,20.2,100.0,70.3,48.8,100.0,70.6,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.04,758.9,11.06,20.4,100.0,69.6,48.4,100.0,70.3,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.06,774.2,11.29,20.6,100.0,69.0,48.1,100.0,69.9,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.09,789.5,11.52,20.9,100.0,68.4,47.7,100.0,69.6,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.11,804.8,11.76,21.1,100.0,67.8,47.4,100.0,69.3,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.14,820.2,11.99,21.4,100.0,67.2,47.0,100.0,69.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.16,835.5,12.23,21.6,100.0,66.6,46.7,100.0,68.6,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.19,850.8,12.46,21.9,100.0,66.0,46.3,100.0,68.3,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.21,866.1,12.69,22.1,100.0,65.4,46.0,100.0,68.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.23,881.5,12.93,22.3,100.0,64.7,45.6,100.0,67.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.26,896.8,13.16,22.6,100.0,64.1,45.3,100.0,67.3,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.28,912.1,13.40,22.8,100.0,63.5,44.9,100.0,67.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.31,927.4,13.63,23.1,100.0,62.9,44.6,100.0,66.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.33,942.7,13.86,23.3,100.0,62.3,44.2,100.0,66.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.35,958.1,14.10,23.5,100.0,61.7,43.9,100.0,66.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.38,973.4,14.33,23.8,100.0,61.1,43.5,100.0,65.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.40,988.7,14.56,24.0,100.0,60.5,43.2,100.0,65.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.43,1004.0,14.80,24.3,100.0,59.9,42.8,100.0,65.1,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.45,1019.4,15.03,24.5,100.0,59.4,42.5,100.0,64.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.48,1034.7,15.27,24.8,100.0,59.0,42.1,100.0,64.5,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.50,1050.0,15.50,25.0,100.0,58.5,41.8,100.0,64.2,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.52,1065.3,15.73,25.2,99.0,58.0,41.4,100.0,63.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.55,1080.6,15.97,25.5,98.1,57.6,41.0,100.0,63.3,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.57,1096.0,16.20,25.7,97.1,57.1,40.7,100.0,62.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.60,1111.3,16.44,26.0,96.1,56.7,40.3,100.0,62.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.62,1126.6,16.67,26.2,95.2,56.2,40.0,100.0,61.9,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.65,1141.9,16.90,26.5,94.2,55.7,39.6,100.0,61.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.67,1157.3,17.14,26.7,93.2,55.3,39.3,100.0,60.9,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.69,1172.6,17.37,26.9,92.3,54.8,38.9,100.0,60.5,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.72,1187.9,17.60,27.2,91.3,54.4,38.6,100.0,60.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.74,1203.2,17.84,27.4,90.3,53.9,38.2,100.0,59.5,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.77,1218.5,18.07,27.7,89.4,53.4,37.9,100.0,59.1,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.79,1233.9,18.31,27.9,88.4,53.0,37.5,100.0,58.6,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.81,1249.2,18.54,28.1,87.4,52.5,37.2,98.9,58.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.84,1264.5,18.77,28.4,86.5,52.1,36.8,97.1,57.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.86,1279.8,19.01,28.6,85.5,51.6,36.5,95.3,56.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.89,1295.2,19.24,28.9,84.5,51.1,36.1,93.5,56.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.91,1310.5,19.48,29.1,83.5,50.7,35.8,91.7,55.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.94,1325.8,19.71,29.4,82.6,50.2,35.4,89.8,54.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.96,1341.1,19.94,29.6,81.6,49.8,35.1,88.0,54.1,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
7.98,1356.5,20.18,29.8,80.6,49.3,34.7,86.2,53.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.01,1371.8,20.41,30.1,79.7,48.8,34.4,84.4,52.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.03,1387.1,20.65,30.3,78.7,48.4,34.0,82.6,52.1,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.06,1402.4,20.88,30.6,77.7,47.9,33.7,80.8,51.5,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.08,1417.7,21.11,30.8,76.8,47.5,33.3,79.0,50.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.10,1433.1,21.35,31.0,75.8,47.0,33.0,77.1,50.2,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.13,1448.4,21.58,31.3,74.8,46.5,32.6,75.3,49.5,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.15,1463.7,21.81,31.5,73.9,46.1,32.3,73.5,48.9,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.18,1479.0,22.05,31.8,72.9,45.6,31.9,71.7,48.2,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.20,1494.4,22.28,32.0,71.9,45.2,31.6,69.9,47.6,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.23,1509.7,22.52,32.3,71.0,44.7,31.2,68.7,47.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.25,1525.0,22.75,32.5,70.0,44.2,30.9,67.5,46.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.27,1540.3,22.98,32.7,69.0,43.8,30.5,66.3,45.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.30,1555.6,23.22,33.0,68.1,43.3,30.2,65.1,45.2,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.32,1571.0,23.45,33.2,67.1,42.9,29.8,63.9,44.6,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.35,1586.3,23.69,33.5,66.1,42.4,29.5,62.7,44.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.37,1601.6,23.92,33.7,65.2,42.0,29.1,61.5,43.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.40,1616.9,24.15,34.0,64.2,41.5,28.8,60.2,42.8,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.42,1632.3,24.39,34.2,63.2,41.0,28.4,59.0,42.2,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.44,1647.6,24.62,34.4,62.3,40.6,28.1,57.8,41.6,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.47,1662.9,24.85,34.7,61.3,40.1,27.7,56.6,41.0,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.49,1678.2,25.09,34.9,60.3,39.7,27.4,55.4,40.4,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.52,1693.5,25.32,35.2,59.4,39.2,27.0,54.2,39.9,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.54,1708.9,25.56,35.4,58.4,38.7,26.7,53.0,39.3,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
8.56,1724.2,25.79,35.6,57.4,38.3,26.3,51.8,38.7,2,Washing clothes/dishes/bathing,"Suitable for laundry, dishwashing, bathing. Pre-filter if turbid. Not recommended for drinking without advanced treatment.",Medium
